dft_action,event_pair_key,system_id,formula,natoms,nsubs,nvacs,split,event_type,event_family,story_role,site_a,site_b,foundation_endpoint_label,finetuned_endpoint_label,transition_label,foundation_neb_status,finetuned_neb_status,foundation_ready_for_neb,finetuned_ready_for_neb,both_models_ready_for_neb,both_models_status_usable,foundation_forward_barrier_eV,finetuned_forward_barrier_eV,foundation_reverse_barrier_eV,finetuned_reverse_barrier_eV,strict_abs_forward_barrier_delta_eV,strict_abs_reverse_barrier_delta_eV,foundation_path_shape,finetuned_path_shape,foundation_notes,finetuned_notes,selection_score,score_story_weight,score_cost_penalty,selection_reason,finetuned_source_init_data,finetuned_source_final_relaxed_data,score_transition_severity,score_readiness_bonus,score_barrier_disagreement_term,score_kinetics_term,rank_within_action,rank_within_action_event_type,recommended_priority_tier
final_relax_only,P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526__38__74,P_P134N3_dda7d839-bc4d-48cb-a66f-1ba5db069526,P134N3,144,3,7,test,nearN_hop,near_dopant,near-dopant environment sensitivity,38,74,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.6,1.35,0.3,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,11,1,core
final_relax_only,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39__119__11,P_P130N5_2d2edeb9-0215-4da6-873c-d39a5a44fe39,P130N5,144,5,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,119,11,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.48,1.35,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,12,2,core
final_relax_only,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__45__81,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,P130N5,144,5,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,45,81,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.48,1.35,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,13,3,extended
final_relax_only,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d__115__7,P_P130N5_73b92a80-edba-4628-aa33-53087cf4717d,P130N5,144,5,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,115,7,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.48,1.35,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,14,4,extended
final_relax_only,P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988__100__70,P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,P130N7,144,7,7,test,nearN_hop,near_dopant,near-dopant environment sensitivity,100,70,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.48,1.35,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,15,5,extended
final_relax_only,P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988__141__3,P_P130N7_e236b37e-ec6c-4beb-a178-c706965a3988,P130N7,144,7,7,test,nearN_hop,near_dopant,near-dopant environment sensitivity,141,3,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.48,1.35,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,16,6,extended
final_relax_only,P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c__13__115,P_P130N8_4da67312-af60-4b2d-adf5-10c7bd23799c,P130N8,144,8,6,test,nearN_hop,near_dopant,near-dopant environment sensitivity,13,115,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.48,1.35,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,17,7,extended
final_relax_only,P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2__32__140,P_P130N9_743bf692-dea8-42fa-913e-e86dff2ca8a2,P130N9,144,9,5,test,nearN_hop,near_dopant,near-dopant environment sensitivity,32,140,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.48,1.35,0.42,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,18,8,extended
final_relax_only,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__118__10,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,P126N9,144,9,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,118,10,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.36,1.35,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,19,9,extended
final_relax_only,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__113__11,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,P126N9,144,9,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,113,11,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.36,1.35,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,20,10,extended
final_relax_only,P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf__56__92,P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,P126N9,144,9,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,56,92,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.36,1.35,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,21,11,extended
final_relax_only,P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf__97__61,P_P126N9_e0754269-d136-48fc-b413-c67e15d0c3cf,P126N9,144,9,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,97,61,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,45.36,1.35,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,22,12,extended
final_relax_only,P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170__91__55,P_P126N9_ecb3b163-ce50-404d-9fcf-cb7eeacaa170,P126N9,144,9,9,test,nearN_hop,near_dopant,near-dopant environment sensitivity,91,55,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,45.36,1.35,0.54,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,23,13,extended
final_relax_only,P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b__68__98,P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b,P141N1,144,1,2,test,AC_hop,far_AC,far-from-N armchair baseline,68,98,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,24,1,core
final_relax_only,P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa__0__108,P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa,P141N1,144,1,2,test,AC_hop,far_AC,far-from-N armchair baseline,0,108,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,25,2,core
final_relax_only,P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b__57__87,P_P141N1_e061f29c-4ea8-4686-b353-b7a55664072b,P141N1,144,1,2,test,AC_hop,far_AC,far-from-N armchair baseline,57,87,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,26,3,extended
final_relax_only,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806__92__62,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,P141,144,0,3,test,AC_hop,far_AC,far-from-N armchair baseline,92,62,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,27,4,extended
final_relax_only,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806__92__127,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,P141,144,0,3,test,AC_hop,far_AC,far-from-N armchair baseline,92,127,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,28,5,extended
final_relax_only,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806__122__87,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,P141,144,0,3,test,AC_hop,far_AC,far-from-N armchair baseline,122,87,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,29,6,extended
final_relax_only,P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b__68__104,P_P141N1_801ae4a4-5b4a-4480-bf01-dbe9c0f9df3b,P141N1,144,1,2,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,68,104,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,30,1,core
final_relax_only,P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa__0__138,P_P141N1_aad91e07-a830-46a9-b029-f4631bbc21aa,P141N1,144,1,2,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,0,138,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,31,2,core
final_relax_only,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806__82__46,P_P141_00cb58bb-9519-47f8-ae57-cfbf5af07806,P141,144,0,3,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,82,46,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.41,1.0,0.09,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,32,3,extended
final_relax_only,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346__10__46,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,P137N1,144,1,6,test,AC_hop,far_AC,far-from-N armchair baseline,10,46,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,33,7,extended
final_relax_only,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346__75__45,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,P137N1,144,1,6,test,AC_hop,far_AC,far-from-N armchair baseline,75,45,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,34,8,extended
final_relax_only,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4__17__125,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,P137N2,144,2,5,test,AC_hop,far_AC,far-from-N armchair baseline,17,125,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,35,9,extended
final_relax_only,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4__82__52,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,P137N2,144,2,5,test,AC_hop,far_AC,far-from-N armchair baseline,82,52,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,36,10,extended
final_relax_only,P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792__74__44,P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,P137N2,144,2,5,test,AC_hop,far_AC,far-from-N armchair baseline,74,44,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,37,11,extended
final_relax_only,P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541__67__97,P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,P137N2,144,2,5,test,AC_hop,far_AC,far-from-N armchair baseline,67,97,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,38,12,extended
final_relax_only,P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541__75__45,P_P137N2_57c8cd82-a352-42c5-bdff-8d5b28abd541,P137N2,144,2,5,test,AC_hop,far_AC,far-from-N armchair baseline,75,45,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,39,13,extended
final_relax_only,P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c__35__143,P_P137N3_58779a3f-bd47-4dc3-8ca1-4e7b8b93f58c,P137N3,144,3,4,test,AC_hop,far_AC,far-from-N armchair baseline,35,143,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,40,14,extended
final_relax_only,P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df__35__143,P_P137N4_06c3f239-33bb-44df-8e03-5bd0614c77df,P137N4,144,4,3,test,AC_hop,far_AC,far-from-N armchair baseline,35,143,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,41,15,extended
final_relax_only,P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c__60__90,P_P137N4_45d7c27d-f7cb-443f-93fd-622d98716a8c,P137N4,144,4,3,test,AC_hop,far_AC,far-from-N armchair baseline,60,90,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,42,16,extended
final_relax_only,P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67__86__56,P_P137N4_605910e6-9b1a-48a5-9eea-ecc820799a67,P137N4,144,4,3,test,AC_hop,far_AC,far-from-N armchair baseline,86,56,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,43,17,extended
final_relax_only,P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a__84__54,P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,P137N4,144,4,3,test,AC_hop,far_AC,far-from-N armchair baseline,84,54,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,44,18,extended
final_relax_only,P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a__98__68,P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,P137N4,144,4,3,test,AC_hop,far_AC,far-from-N armchair baseline,98,68,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,45,19,extended
final_relax_only,P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a__102__36,P_P137N4_eb6b3e67-dea4-41f9-b13e-79dfa9f5300a,P137N4,144,4,3,test,AC_hop,far_AC,far-from-N armchair baseline,102,36,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,46,20,extended
final_relax_only,P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0__8__116,P_P137N5_0358e850-b83f-49ba-84d0-83a60cfc53c0,P137N5,144,5,2,test,AC_hop,far_AC,far-from-N armchair baseline,8,116,different_basin,same_basin,different_basin -> same_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,47,21,extended
final_relax_only,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346__10__112,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,P137N1,144,1,6,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,10,112,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,48,4,extended
final_relax_only,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346__143__5,P_P137N1_8d9efecc-9986-4799-a3a6-17f1cb926346,P137N1,144,1,6,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,143,5,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,49,5,extended
final_relax_only,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4__17__119,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,P137N2,144,2,5,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,17,119,different_basin,other_basin,different_basin -> other_basin,missing,missing,True,False,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,50,6,extended
final_relax_only,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4__101__65,P_P137N2_0d50c75d-1679-4bca-b91a-30bc458a92b4,P137N2,144,2,5,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,101,65,other_basin,different_basin,other_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,51,7,extended
final_relax_only,P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792__51__87,P_P137N2_4120326e-e6e5-44e8-8fde-ce97713d0792,P137N2,144,2,5,test,ZZ_hop,far_ZZ,far-from-N zigzag baseline,51,87,same_basin,different_basin,same_basin -> different_basin,missing,missing,False,True,False,False,,,,,,,,,,,44.29,1.0,0.21,Foundation and finetuned disagree on final basin identity; use DFT final-state relaxation first to adjudicate endpoint/topology before spending full NEB cost.,,,4.0,0.5,,,52,8,extended
