event_pair_key,system_id,split,event_type,event_family,family_aczz,is_near_dopant,is_far_from_dopant,is_escaping,is_non_escaping,vac_site_144,neighbor_site_144,site_a,site_b,foundation_endpoint_label,finetuned_endpoint_label,transition_label,endpoint_is_disagree,foundation_ready_for_neb,finetuned_ready_for_neb,both_models_ready_for_neb,foundation_neb_present,finetuned_neb_present,foundation_neb_status,finetuned_neb_status,foundation_usable_complete,finetuned_usable_complete,both_models_usable_complete,foundation_status_is_usable,finetuned_status_is_usable,both_models_status_usable,both_models_log_neb_parseable,foundation_forward_barrier_eV,finetuned_forward_barrier_eV,foundation_reverse_barrier_eV,finetuned_reverse_barrier_eV,forward_barrier_delta_ft_minus_foundation_eV,reverse_barrier_delta_ft_minus_foundation_eV,abs_forward_barrier_delta_eV,abs_reverse_barrier_delta_eV,strict_forward_barrier_delta_ft_minus_foundation_eV,strict_reverse_barrier_delta_ft_minus_foundation_eV,strict_abs_forward_barrier_delta_eV,strict_abs_reverse_barrier_delta_eV,foundation_path_shape,finetuned_path_shape,foundation_final_step,finetuned_final_step,foundation_final_max_replica_force_eVA,finetuned_final_max_replica_force_eVA,foundation_notes,finetuned_notes
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__74__109,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,74,109,74,109,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.07609693,0.89782438,1.1531545,0.92280586,0.82172745,-0.2303486400000001,0.82172745,0.2303486400000001,0.82172745,-0.2303486400000001,0.82172745,0.2303486400000001,interior_saddle,interior_saddle,1157,386,0.019973741,0.019960448,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__75__39,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,75,39,75,39,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__75__45,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,75,45,75,45,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.0031082907,4.3361175e-05,0.20311937,0.071989835,-0.0030649295249999997,-0.131129535,0.0030649295249999997,0.131129535,-0.0030649295249999997,-0.131129535,0.0030649295249999997,0.131129535,interior_saddle,interior_saddle,369,4139,0.019940119,0.019998079,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__75__110,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,75,110,75,110,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.079853463,404.66145,0.31694098,405.00081,404.581596537,404.68386902,404.581596537,404.68386902,,,,,interior_saddle,interior_saddle,117,1124,0.019783793,1934.4269,,final_force_above_ftol; barrier_extremely_large; segfault
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__93__57,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,93,57,93,57,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__93__63,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,93,63,93,63,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__102__66,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,102,66,102,66,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__102__143,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,102,143,102,143,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.88770304,0.62152678,0.037779536,0.00306885,-0.26617626000000005,-0.034710686000000004,0.26617626000000005,0.034710686000000004,-0.26617626000000005,-0.034710686000000004,0.26617626000000005,0.034710686000000004,interior_saddle,interior_saddle,160,1507,0.018281551,0.019945379,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__128__20,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,128,20,128,20,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__128__26,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,128,26,128,26,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__139__1,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,139,1,139,1,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__139__31,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,139,31,139,31,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc__139__104,P_P126N9_4857f4db-c231-4413-ae85-3ebc41741bcc,test,AC_hop,far_AC,AC,False,True,False,True,139,104,139,104,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.0,0.89916568,1.7235148,1.144238,0.89916568,-0.5792767999999999,0.89916568,0.5792767999999999,0.89916568,-0.5792767999999999,0.89916568,0.5792767999999999,initial_endpoint_highest,interior_saddle,181,1104,0.019870476,0.019356329,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__3__39,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,3,39,3,39,other_basin,same_basin,other_basin -> same_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__3__111,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,3,111,3,111,other_basin,different_basin,other_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__3__141,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,3,141,3,141,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,failed,suspicious,True,True,True,False,False,False,True,292.28098,0.72937363,291.92267,0.64026156,-291.55160637,-291.28240844,291.55160637,291.28240844,,,,,interior_saddle,interior_saddle,2425,4341,935.40555,1.922664,final_force_above_ftol; barrier_extremely_large; segfault,final_force_above_ftol
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__21__57,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,21,57,21,57,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.58830895,0.63319236,0.41138112,0.23880376,0.04488340999999996,-0.17257735999999999,0.04488340999999996,0.17257735999999999,0.04488340999999996,-0.17257735999999999,0.04488340999999996,0.17257735999999999,interior_saddle,interior_saddle,552,539,0.019857639,0.019940629,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__21__123,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,21,123,21,123,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__21__129,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,21,129,21,129,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__40__4,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,trap_escape,escape,non_ACZZ,True,False,True,False,40,4,40,4,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__40__76,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,40,76,40,76,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__49__13,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,49,13,49,13,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,1.3160753,1.0471067,0.13435241,0.01350558,-0.2689686,-0.12084683,0.2689686,0.12084683,-0.2689686,-0.12084683,0.2689686,0.12084683,interior_saddle,interior_saddle,899,2451,0.019923264,0.019980561,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__49__79,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,49,79,49,79,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__49__85,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,49,85,49,85,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,suspicious,True,True,True,True,False,False,True,1.0797453,0.736062,0.25824744,0.0,-0.3436832999999999,-0.25824744,0.3436832999999999,0.25824744,,,,,interior_saddle,final_endpoint_highest,2788,6000,0.019920851,0.037650022,,final_force_above_ftol
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__71__35,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,trap_escape,escape,non_ACZZ,True,False,True,False,71,35,71,35,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__71__107,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,trap_escape,escape,non_ACZZ,True,False,True,False,71,107,71,107,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.31186549,0.18070779,0.5401423,0.6684314,-0.13115770000000002,0.12828910000000004,0.13115770000000002,0.12828910000000004,-0.13115770000000002,0.12828910000000004,0.13115770000000002,0.12828910000000004,interior_saddle,interior_saddle,695,1123,0.01984396,0.019864189,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__100__64,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,100,64,100,64,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__100__70,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,100,70,100,70,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.0,22.292778,0.26404875,22.304603,22.292778,22.04055425,22.292778,22.04055425,,,,,initial_endpoint_highest,interior_saddle,1202,167,0.019283496,102.22021,,final_force_above_ftol; barrier_extremely_large; segfault
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__100__135,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,100,135,100,135,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,failed,usable,True,True,True,False,True,False,True,90.0923,0.66520295,116.62139,0.0030288532,-89.42709705,-116.61836114680001,89.42709705,116.61836114680001,,,,,interior_saddle,interior_saddle,471,804,532.26825,0.019958248,final_force_above_ftol; barrier_extremely_large; segfault,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__104__38,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,trap_escape,escape,non_ACZZ,True,False,True,False,104,38,104,38,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.74071057,0.40019359,0.76940729,0.0,-0.34051697999999997,-0.76940729,0.34051697999999997,0.76940729,-0.34051697999999997,-0.76940729,0.34051697999999997,0.76940729,interior_saddle,final_endpoint_highest,4723,3735,0.019991194,0.019055551,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__104__68,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,trap_escape,escape,non_ACZZ,True,False,True,False,104,68,104,68,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,suspicious,usable,True,True,True,False,True,False,True,0.20618889,0.04109024,0.0,0.24171986,-0.16509865,0.24171986,0.16509865,0.24171986,,,,,final_endpoint_highest,interior_saddle,6000,3486,0.032681602,0.019944941,final_force_above_ftol,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__118__10,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,118,10,118,10,same_basin,different_basin,same_basin -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__118__16,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,118,16,118,16,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__118__83,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,118,83,118,83,same_basin,other_basin,same_basin -> other_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__120__12,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,120,12,120,12,other_basin,same_basin,other_basin -> same_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__120__18,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,120,18,120,18,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62__120__85,P_P126N9_72625443-b1e7-46d4-ae25-d5d00e84ff62,test,AC_hop,far_AC,AC,False,True,False,True,120,85,120,85,ambiguous,different_basin,ambiguous -> different_basin,True,False,True,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__9__111,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,9,111,9,111,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__9__117,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,AC_hop,far_AC,AC,False,True,False,True,9,117,9,117,other_basin,same_basin,other_basin -> same_basin,True,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__36__0,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,AC_hop,far_AC,AC,False,True,False,True,36,0,36,0,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__36__72,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,36,72,36,72,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,failed,True,True,True,True,False,False,True,0.64216688,210.03911,0.016556062,209.78604,209.39694312,209.769483938,209.39694312,209.769483938,,,,,interior_saddle,interior_saddle,1472,1283,0.019921632,1144.7782,,final_force_above_ftol; barrier_extremely_large; segfault
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__36__102,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,AC_hop,far_AC,AC,False,True,False,True,36,102,36,102,same_basin,same_basin,same_basin -> same_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__37__1,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,trap_escape,escape,non_ACZZ,True,False,True,False,37,1,37,1,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.13926681,0.59298753,0.0046230529,0.16761245,0.4537207200000001,0.1629893971,0.4537207200000001,0.1629893971,0.4537207200000001,0.1629893971,0.4537207200000001,0.1629893971,interior_saddle,interior_saddle,678,386,0.019412281,0.019398268,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__37__103,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,trap_escape,escape,non_ACZZ,True,False,True,False,37,103,37,103,different_basin,other_basin,different_basin -> other_basin,True,True,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__45__75,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,AC_hop,far_AC,AC,False,True,False,True,45,75,45,75,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.25924734,0.062375417,0.27801634,0.50699845,-0.196871923,0.22898211000000002,0.196871923,0.22898211000000002,-0.196871923,0.22898211000000002,0.196871923,0.22898211000000002,interior_saddle,interior_saddle,202,250,0.019981366,0.014939426,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__45__81,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,ZZ_hop,far_ZZ,ZZ,False,True,False,True,45,81,45,81,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,usable,usable,True,True,True,True,True,True,True,0.29954967,0.06901146,1.6958928e-05,0.25255052,-0.23053821,0.252533561072,0.23053821,0.252533561072,-0.23053821,0.252533561072,0.23053821,0.252533561072,interior_saddle,interior_saddle,2915,371,0.019718259,0.019896695,,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__70__34,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,AC_hop,far_AC,AC,False,True,False,True,70,34,70,34,different_basin,different_basin,different_basin -> different_basin,False,True,True,True,True,True,suspicious,usable,True,True,True,False,True,False,True,0.26662802,0.17787903,0.21088431,0.0,-0.08874899000000003,-0.21088431,0.08874899000000003,0.21088431,,,,,interior_saddle,final_endpoint_highest,3228,1849,0.35026971,0.019734672,final_force_above_ftol,
P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4__70__100,P_P126N9_99e52c62-7004-4c8b-8dc2-23541285b4c4,test,nearN_hop,near_dopant,non_ACZZ,True,False,False,True,70,100,70,100,other_basin,other_basin,other_basin -> other_basin,False,False,False,False,False,False,missing,missing,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,
